Genus,Species1,Species2,TTID1,TTID2,DIVERGENCE
Phyllostomus,discolor,hastatus,89673.0,9423.0,11.2
Podarcis,muralis,raffonei,64176.0,65483.0,12.2
Poecilia,formosa,latipinna,48698.0,48699.0,18.19792
Poecilia,formosa,mexicana,48698.0,48701.0,18.19792
Poecilia,latipinna,mexicana,48699.0,48701.0,9.72118
Pongo,pygmaeus,abelii,9600.0,9601.0,4.11
Prionailurus,bengalensis,viverrinus,37029.0,61388.0,2.829
Pteropus,vampyrus,alecto,132908.0,9402.0,7.063275
Pteropus,vampyrus,giganteus,132908.0,132908.0,Unknown
Pteropus,alecto,giganteus,9402.0,132908.0,7.063275
Puma,concolor,yagouaroundi,9696.0,1608482.0,4.635
Rattus,rattus,norvegicus,10117.0,10116.0,Unknown
Rhinopithecus,bieti,roxellana,61621.0,61622.0,2.19
Salmo,trutta,salar,8032.0,8030.0,Unknown
Salvelinus,IW2-2015,namaycush,,8040.0,
Salvelinus,IW2-2015,fontinalis,,8038.0,
Salvelinus,namaycush,fontinalis,8040.0,8038.0,7.747595
Scomber,japonicus,scombrus,13676.0,13677.0,19.1222
Seriola,dumerili,dorsalis,41447.0,1841481.0,Unknown
Seriola,dumerili,aureovittata,41447.0,2871759.0,Unknown
Seriola,dorsalis,aureovittata,1841481.0,2871759.0,Unknown
Sinocyclocheilus,anshuiensis,rhinocerous,1608454.0,307959.0,19.61518
Sinocyclocheilus,anshuiensis,grahami,1608454.0,75366.0,14.2663
Sinocyclocheilus,rhinocerous,grahami,307959.0,75366.0,19.61518
Solea,senegalensis,solea,28829.0,90069.0,16.33559
Syngnathus,scovelli,typhle,161590.0,161592.0,16.860685
Syngnathus,scovelli,acus,161590.0,161584.0,16.860685
Syngnathus,typhle,acus,161592.0,161584.0,17.95666
Tachysurus,fulvidraco,vachellii,1234273.0,175792.0,19.385875
Takifugu,flavidus,rubripes,433684.0,31033.0,2.684345
Thamnophis,sirtalis,elegans,35019.0,35005.0,8.35203
Thunnus,maccoyii,albacares,8240.0,8236.0,3.85288
Triplophysa,dalaica,rosa,1582913.0,992332.0,Unknown
Ursus,maritimus,americanus,29073.0,9643.0,4.8794
Ursus,maritimus,arctos,29073.0,9644.0,0.82
Ursus,americanus,arctos,9643.0,9644.0,4.8794
Vidua,macroura,chalybeata,187451.0,81927.0,5.465
Vulpes,vulpes,lagopus,9627.0,494514.0,3.51667
Xiphophorus,couchianus,maculatus,32473.0,8083.0,3.3303
Xiphophorus,couchianus,hellerii,32473.0,8084.0,4.6523
Xiphophorus,maculatus,hellerii,8083.0,8084.0,4.6523
